arena_name,team,city,latitude,longitude
American Airlines Center,Dallas Mavericks,Dallas,32.79056,-96.81028
Ball Arena,Denver Nuggets,Denver,39.74861,-105.0075
Barclays Center,Brooklyn Nets,Brooklyn,40.6826611,-73.975225
Capital One Arena,Washington Wizards,Washington,38.89806,-77.02083
Chase Center,Golden State Warriors,San Francisco,37.76806,-122.3875
Crypto.com Arena,Los Angeles Lakers,Los Angeles,34.04306,-118.26722
Delta Center,Utah Jazz,Salt Lake City,40.76833,-111.90111
FedExForum,Memphis Grizzlies,Memphis,35.13833,-90.05056
Fiserv Forum,Milwaukee Bucks,Milwaukee,43.045028,-87.918167
Frost Bank Center,San Antonio Spurs,San Antonio,29.42694,-98.4375
Gainbridge Fieldhouse,Indiana Pacers,Indianapolis,39.76389,-86.15556
Golden 1 Center,Sacramento Kings,Sacramento,38.580361,-121.499611
Intuit Dome,Los Angeles Clippers,Inglewood,33.9451,-118.3431
Kaseya Center,Miami Heat,Miami,25.78139,-80.18806
Kia Center,Orlando Magic,Orlando,28.53917,-81.38361
Little Caesars Arena,Detroit Pistons,Detroit,42.34111,-83.055
Madison Square Garden,New York Knicks,New York,40.75056,-73.99361
Moda Center,Portland Trail Blazers,Portland,45.53167,-122.66667
Mortgage Matchup Center,Phoenix Suns,Phoenix,33.44583,-112.07139
Paycom Center,Oklahoma City Thunder,Oklahoma City,35.46333,-97.515
Rocket Arena,Cleveland Cavaliers,Cleveland,41.49639,-81.68806
Scotiabank Arena,Toronto Raptors,Toronto,43.64333,-79.37917
Smoothie King Center,New Orleans Pelicans,New Orleans,29.94889,-90.08194
Spectrum Center,Charlotte Hornets,Charlotte,35.225,-80.83917
State Farm Arena,Atlanta Hawks,Atlanta,33.75722,-84.39639
Target Center,Minnesota Timberwolves,Minneapolis,44.97944,-93.27611
TD Garden,Boston Celtics,Boston,42.3663028,-71.0622278
Toyota Center,Houston Rockets,Houston,29.75083,-95.36222
United Center,Chicago Bulls,Chicago,41.88056,-87.67417
Xfinity Mobile Arena,Philadelphia 76ers,Philadelphia,39.90111,-75.17194
